source,name,sku,price,old_price,unit,stock,url,images,colors,category,subcategory,scraped_at,attr_thickness_mm,attr_country,attr_manufacturer
akm,"Металочерепиця Monterrey Німеччина (ThyssenKrupp) МАТ 0,50мм",0983,341,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-germaniya-thyssenkrupp-mat-050mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-7016-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-BS-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3009-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3009-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8004-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8004-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:28.147Z,0.50,Німеччина,ThyssenKrupp
akm,"Металочерепиця Monterrey Україна МАТ 0,43мм",3001,220,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-ukraina-mat-0-43/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-7024-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-IN-ZM-DS-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7004-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7004-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-1015-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-1015-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:29.064Z,0.43,Україна,Україна
akm,"Металочерепиця Monterrey Польща (Arcelor) МАТ 0,50мм",0016,326,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-polsha-arcelor-mat-050mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-8019-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-IN-BS-AL-ZM-DS-GR-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:29.264Z,0.50,Польща,Arcelor
akm,"Металочерепиця Monterrey Україна МАТ 0,45мм",0009,229,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-ukraina-mat-045mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-7016-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-IN-BS-AL-ZM-GR-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8004-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8004-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7004-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7004-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9003-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9003-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:30.572Z,0.45,Україна,Україна
akm,"Металочерепиця Monterrey Італія (ARVEDI) МАТ 0,50мм",0017,306,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-italiya-arvedi-mat-050mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-3005-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-BS-GR-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3009-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3009-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3011-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3011-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8004-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8004-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:32.107Z,0.50,Італія,ARVEDI
akm,"Металочерепиця Monterrey Корея Dongbu МАТ 0,45мм",1037,279,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-koreya-dongbu-mat-045mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-6020-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-AL-ZM-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8004-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8004-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:33.077Z,0.45,Корея,Dongbu
akm,"Металочерепиця Monterrey Корея Dongbu МАТ 0,50мм",1038,304,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-koreya-dongbu-mat-050mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-3009-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-ZM-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:34.499Z,0.50,Корея,Dongbu
akm,"Металочерепиця Monterrey Італія (ARVEDI) МАТ 0,45мм",1046,275,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-italiya-arvedi-mat-045mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-7016-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-BS-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6005-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-6020-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3011-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-3011-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:35.308Z,0.45,Італія,ARVEDI
akm,"Металочерепиця Monterrey Німеччина (Arcelor) МАТ 0,50мм",1176,335,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-germaniya-arcelor-mat-0-50mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-mat-7024-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/OBSCH-Monterej-002-BS-AL-ZM-DS-GR-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8017-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7024-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-9005-mat-175x175.jpg,[object Object] | [object Object] | [object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:35.590Z,0.50,Німеччина,Arcelor
akm,"Металочерепиця Monterrey Австрія (Voestalpine) МАТ 0,50мм",2420,361,,м²,в наявності,https://akm.kiev.ua/ua/metallocherepitsa/monterrey/monterrey-avstriya-voestalpine-mat-050mm/,https://akm.kiev.ua/image/cache/catalog/metall/monterrey/2024/241125-m-monterej-V-mat-7016-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/monterrey/250523-monterrey-011-250x250.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-voestalpine-8019-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-voestalpine-8019-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-voestalpine-7016-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-voestalpine-7016-mat-175x175.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-voestalpine-9005-mat-22x22.jpg | https://akm.kiev.ua/image/cache/catalog/metall/color/color-voestalpine-9005-mat-175x175.jpg,[object Object] | [object Object] | [object Object],Металочерепиця,Monterrey,2026-02-08T07:25:35.718Z,0.50,Австрія,Voestalpine
